t,x,y,z,vx,vy,vz,ax,ay,az
0.847,-23.5737,-0.0515,0.5000,1.1214,-0.0382,0.0000,0.2084,0.0702,0.0000
0.857,-23.5625,-0.0519,0.5000,1.1235,-0.0375,0.0000,0.2123,0.0712,0.0000
0.867,-23.5513,-0.0523,0.5000,1.1256,-0.0368,0.0000,0.2160,0.0722,0.0000
0.877,-23.5400,-0.0526,0.5000,1.1278,-0.0361,0.0000,0.2196,0.0732,0.0000
0.887,-23.5287,-0.0530,0.5000,1.1300,-0.0353,0.0000,0.2230,0.0741,0.0000
0.897,-23.5174,-0.0533,0.5000,1.1322,-0.0346,0.0000,0.2263,0.0750,0.0000
0.907,-23.5061,-0.0537,0.5000,1.1345,-0.0338,0.0000,0.2294,0.0759,0.0000
0.917,-23.4947,-0.0540,0.5000,1.1368,-0.0331,0.0000,0.2324,0.0768,0.0000
0.927,-23.4833,-0.0543,0.5000,1.1392,-0.0323,0.0000,0.2353,0.0776,0.0000
0.937,-23.4719,-0.0546,0.5000,1.1415,-0.0315,0.0000,0.2380,0.0783,0.0000
0.947,-23.4605,-0.0550,0.5000,1.1439,-0.0307,0.0000,0.2406,0.0791,0.0000
0.957,-23.4490,-0.0553,0.5000,1.1464,-0.0299,0.0000,0.2431,0.0798,0.0000
0.967,-23.4375,-0.0556,0.5000,1.1488,-0.0291,0.0000,0.2454,0.0805,0.0000
0.977,-23.4260,-0.0558,0.5000,1.1513,-0.0283,0.0000,0.2476,0.0811,0.0000
0.987,-23.4145,-0.0561,0.5000,1.1537,-0.0275,0.0000,0.2497,0.0817,0.0000
0.997,-23.4030,-0.0564,0.5000,1.1563,-0.0267,0.0000,0.2516,0.0823,0.0000
1.007,-23.3914,-0.0567,0.5000,1.1588,-0.0259,0.0000,0.2534,0.0829,0.0000
1.017,-23.3798,-0.0569,0.5000,1.1613,-0.0250,0.0000,0.2551,0.0834,0.0000
1.027,-23.3682,-0.0572,0.5000,1.1639,-0.0242,0.0000,0.2567,0.0839,0.0000
1.037,-23.3565,-0.0574,0.5000,1.1665,-0.0233,0.0000,0.2581,0.0844,0.0000
1.047,-23.3448,-0.0576,0.5000,1.1690,-0.0225,0.0000,0.2594,0.0848,0.0000
1.057,-23.3331,-0.0578,0.5000,1.1717,-0.0217,0.0000,0.2606,0.0852,0.0000
1.067,-23.3214,-0.0581,0.5000,1.1743,-0.0208,0.0000,0.2617,0.0856,0.0000
1.077,-23.3097,-0.0583,0.5000,1.1769,-0.0199,0.0000,0.2627,0.0860,0.0000
1.087,-23.2975,-0.0585,0.5000,1.1796,-0.0191,0.0000,0.2635,0.0863,0.0000
1.097,-23.2861,-0.0586,0.5000,1.1821,-0.0182,0.0000,0.2642,0.0866,0.0000
1.107,-23.2742,-0.0588,0.5000,1.1848,-0.0174,0.0000,0.2649,0.0869,0.0000
1.117,-23.2624,-0.0590,0.5000,1.1874,-0.0165,0.0000,0.2654,0.0871,0.0000
1.127,-23.2505,-0.0591,0.5000,1.1901,-0.0156,0.0000,0.2658,0.0873,0.0000
1.137,-23.2386,-0.0593,0.5000,1.1928,-0.0147,0.0000,0.2661,0.0875,0.0000
1.147,-23.2266,-0.0594,0.5000,1.1954,-0.0139,0.0000,0.2663,0.0877,0.0000
1.157,-23.2146,-0.0596,0.5000,1.1981,-0.0130,0.0000,0.2663,0.0879,0.0000
1.167,-23.2026,-0.0597,0.5000,1.2008,-0.0121,0.0000,0.2663,0.0880,0.0000
1.177,-23.1906,-0.0598,0.5000,1.2034,-0.0112,0.0000,0.2662,0.0881,0.0000
1.187,-23.1785,-0.0599,0.5000,1.2061,-0.0103,0.0000,0.2660,0.0881,0.0000
1.197,-23.1665,-0.0600,0.5000,1.2087,-0.0095,0.0000,0.2657,0.0882,0.0000
1.207,-23.1544,-0.0601,0.5000,1.2114,-0.0086,0.0000,0.2652,0.0882,0.0000
1.217,-23.1423,-0.0602,0.5000,1.2140,-0.0077,0.0000,0.2647,0.0882,0.0000
1.227,-23.1301,-0.0603,0.5000,1.2167,-0.0068,0.0000,0.2641,0.0882,0.0000
1.237,-23.1179,-0.0603,0.5000,1.2193,-0.0059,0.0000,0.2634,0.0881,0.0000
1.247,-23.1058,-0.0604,0.5000,1.2219,-0.0050,0.0000,0.2626,0.0881,0.0000
1.257,-23.0935,-0.0604,0.5000,1.2246,-0.0042,0.0000,0.2617,0.0880,0.0000
1.267,-23.0813,-0.0605,0.5000,1.2272,-0.0033,0.0000,0.2608,0.0879,0.0000
1.277,-23.0689,-0.0605,0.5000,1.2298,-0.0024,0.0000,0.2597,0.0877,0.0000
1.287,-23.0567,-0.0605,0.5000,1.2324,-0.0015,0.0000,0.2586,0.0876,0.0000
1.296,-23.0444,-0.0605,0.5000,1.2349,-0.0007,0.0000,0.2574,0.0874,0.0000
1.307,-23.0319,-0.0605,0.5000,1.2375,0.0002,0.0000,0.2560,0.0872,0.0000
1.317,-23.0195,-0.0605,0.5000,1.2401,0.0011,0.0000,0.2546,0.0870,0.0000
1.327,-23.0071,-0.0605,0.5000,1.2426,0.0020,0.0000,0.2532,0.0867,0.0000
1.337,-22.9947,-0.0605,0.5000,1.2451,0.0028,0.0000,0.2516,0.0865,0.0000
1.347,-22.9823,-0.0605,0.5000,1.2476,0.0037,0.0000,0.2500,0.0862,0.0000
1.357,-22.9698,-0.0604,0.5000,1.2501,0.0045,0.0000,0.2483,0.0859,0.0000
1.367,-22.9573,-0.0604,0.5000,1.2526,0.0054,0.0000,0.2466,0.0856,0.0000
1.377,-22.9445,-0.0603,0.5000,1.2551,0.0063,0.0000,0.2447,0.0852,0.0000
1.387,-22.9321,-0.0602,0.5000,1.2575,0.0071,0.0000,0.2428,0.0849,0.0000
1.397,-22.9196,-0.0602,0.5000,1.2599,0.0079,0.0000,0.2408,0.0845,0.0000
1.407,-22.9070,-0.0601,0.5000,1.2623,0.0088,0.0000,0.2388,0.0841,0.0000
1.417,-22.8943,-0.0600,0.5000,1.2647,0.0096,0.0000,0.2367,0.0837,0.0000
1.427,-22.8816,-0.0599,0.5000,1.2671,0.0105,0.0000,0.2345,0.0833,0.0000
1.437,-22.8690,-0.0598,0.5000,1.2694,0.0113,0.0000,0.2322,0.0828,0.0000
1.447,-22.8561,-0.0597,0.5000,1.2717,0.0121,0.0000,0.2299,0.0823,0.0000
1.457,-22.8435,-0.0595,0.5000,1.2740,0.0129,0.0000,0.2276,0.0819,0.0000
1.467,-22.8308,-0.0594,0.5000,1.2762,0.0138,0.0000,0.2252,0.0814,0.0000
1.477,-22.8180,-0.0593,0.5000,1.2785,0.0146,0.0000,0.2227,0.0809,0.0000
1.487,-22.8052,-0.0591,0.5000,1.2807,0.0154,0.0000,0.2201,0.0803,0.0000
1.497,-22.7924,-0.0590,0.5000,1.2829,0.0162,0.0000,0.2175,0.0798,0.0000
1.507,-22.7795,-0.0588,0.5000,1.2851,0.0170,0.0000,0.2149,0.0792,0.0000
1.517,-22.7667,-0.0586,0.5000,1.2872,0.0178,0.0000,0.2122,0.0787,0.0000
1.527,-22.7533,-0.0584,0.5000,1.2890,0.0187,0.0000,0.1827,0.0878,0.0000
1.537,-22.7409,-0.0582,0.5000,1.2907,0.0196,0.0000,0.1719,0.0902,0.0000
1.547,-22.7280,-0.0580,0.5000,1.2924,0.0205,0.0000,0.1608,0.0926,0.0000
1.557,-22.7151,-0.0578,0.5000,1.2939,0.0214,0.0000,0.1501,0.0949,0.0000
1.567,-22.7022,-0.0576,0.5000,1.2954,0.0224,0.0000,0.1395,0.0971,0.0000
1.577,-22.6892,-0.0574,0.5000,1.2967,0.0234,0.0000,0.1292,0.0992,0.0000
1.587,-22.6757,-0.0571,0.5000,1.2980,0.0244,0.0000,0.1187,0.1013,0.0000
1.597,-22.6632,-0.0569,0.5000,1.2991,0.0254,0.0000,0.1092,0.1031,0.0000
